date	code	name	category	ipo_price	buy_ratio	one_hand	draw_prob	firstday_performance	now_price	total_performance
	2017/07/20	08465	高科橋	工業用品	1.680	13.6	1	100.0%	0.00%	1.990	+18.45%
	2017/07/19	08427	瑞強集團	電訊及網絡器材	0.280	11.2	1	100.0%	+150.00%	0.590	+110.71%
	2017/07/19	01216	中原銀行	銀行	2.450	認購不足	1	100.0%	+1.63%	2.490	+1.63%
	2017/07/18	08291	萬成金屬包裝	鋼鐵	0.650	12.1	2	90.3%	+4.62%	0.780	+20.00%
	2017/07/18	08472	立高控股	其他支援服務	0.500	10.5	1	100.0%	+10.00%	0.530	+6.00%
	2017/07/18	01676	中國升海食品	包裝食品	0.660	8.2	1	100.0%	+100.00%	1.310	+98.48%
	2017/07/18	00735	中國電力清潔能源	替代能源	N/A	N/A	N/A	N/A	+11.00%	5.030	N/A
	2017/07/18	01649	內蒙古能建	供電供熱	1.600	認購不足	1	100.0%	-1.25%	1.590	-0.62%
	2017/07/17	08481	盛龍錦秀國際	家具及家居用品	0.680	0.3	1	100.0%	+42.65%	0.620	-8.82%
	2017/07/17	08462	橋英控股	其他支援服務	0.450	2.2	1	100.0%	+5.56%	0.510	+13.33%
	2017/07/17	00994	恆誠建築	建築及裝修	0.860	416.9	1	100.0%	+30.23%	0.900	+4.65%
	2017/07/14	08257	靖洋集團	半導體	0.220	2.6	1	100.0%	+9.55%	0.236	+7.27%
	2017/07/13	08463	TOMO HOLDINGS	汽車及零部件	0.730	認購不足	1	100.0%	-13.70%	0.690	-5.48%
	2017/07/13	08297	芭迪貝伊	服裝	0.400	0.0	1	100.0%	-13.75%	0.290	-27.50%
	2017/07/13	06088	FIT HON TENG	資訊科技器材	2.700	1.4	1	100.0%	+16.67%	3.910	+44.81%
	2017/07/12	08405	恆智控股	其他支援服務	0.720	37.9	1	100.0%	+23.61%	0.830	+15.28%
	2017/07/12	06113	UTS MARKETING	其他支援服務	1.380	7.4	1	100.0%	+5.07%	1.360	-1.45%
	2017/07/12	01962	訓修實業	美容及個人護理	1.650	0.1	1	100.0%	-26.06%	1.390	-15.76%
	2017/07/11	01702	東光化工	化肥農藥	1.060	2.7	3	70.1%	+50.94%	2.430	+129.25%
	2017/07/11	01695	椰豐集團	食品添加劑及調味料	0.480	8.4	7	40.1%	+158.33%	0.570	+18.75%
	2017/07/10	01932	中漆集團	工業用品	0.860	2.5	1	100.0%	-10.47%	0.670	-22.09%
	2017/07/10	01826	豐展控股	建築及裝修	N/A	N/A	N/A	N/A	-9.09%	0.440	+22.22%
	2017/07/07	08157	象興國際	航運及港務	0.220	0.7	1	100.0%	-2.73%	0.188	-14.55%
	2017/07/06	08469	盛業資本	其他金融	2.000	3.0	1	100.0%	+11.50%	3.180	+59.00%
	2017/06/30	08362	運興泰集團	包裝食品	0.200	19.0	1	100.0%	-28.00%	0.112	-44.00%
	2017/06/28	01571	信邦控股	汽車及零部件	3.420	59.0	1	100.0%	-5.56%	3.330	-2.63%
	2017/06/27	08460	基地錦標集團	建築及裝修	0.240	0.9	1	100.0%	-15.83%	0.123	-48.75%
	2017/06/20	01631	REF HOLDINGS	印刷及包裝	N/A	N/A	N/A	N/A	-7.11%	1.650	-26.67%
	2017/06/20	01551	廣州農商銀行	銀行	5.100	認購不足	1	100.0%	+0.20%	5.050	-0.98%
	2017/06/16	08420	NEXION TECH	電訊服務	0.480	1.9	3	50.0%	0.00%	0.550	+14.58%
	2017/06/16	01630	建成控股	建築及裝修	0.380	4.8	1	100.0%	+42.11%	0.560	+47.37%
	2017/06/14	08446	ITP HOLDINGS	影視娛樂	0.300	10.6	8	75.1%	+96.67%	2.200	+633.33%
	2017/06/13	06038	信越控股	建築及裝修	0.410	741.3	200	15.0%	+10.98%	0.300	-26.83%
	2017/06/13	02269	藥明生物	生物科技	20.600	36.5	2	80.2%	+37.14%	38.200	+85.44%
	2017/06/09	01679	瑞斯康集團	半導體	1.000	13.2	1	100.0%	+106.00%	2.950	+195.00%
	2017/06/08	00804	鼎石資本	證券	N/A	N/A	N/A	N/A	-2.86%	0.265	-24.29%
	2017/05/31	08183	尚捷集團控股	服裝	0.500	399.5	1	100.0%	-2.00%	0.405	-19.00%
	2017/05/26	08431	浩柏國際	建築及裝修	0.200	0.7	1	100.0%	-4.50%	0.147	-26.50%
	2017/05/26	08365	建泉國際控股	證券	0.680	11.0	1	100.0%	-16.18%	0.350	-48.53%
	2017/05/23	08452	富銀融資股份	其他金融	1.310	10.4	1	100.0%	+4.58%	1.260	-3.82%
	2017/05/19	03329	交銀國際	證券	2.680	1.5	1	100.0%	+1.49%	2.530	-5.60%
	2017/05/15	01655	OKURA HOLDINGS	博彩	1.200	1016.6	900	25.0%	+6.67%	1.210	+0.83%
	2017/05/10	06033	電訊數碼控股	電訊及網絡器材	N/A	N/A	N/A	N/A	-6.92%	3.450	-11.54%
	2017/05/08	08252	泰和小貸	其他金融	1.340	0.3	1	100.0%	+1.49%	1.820	+35.82%
	2017/05/08	01257	中國光大綠色環保	環保	5.400	1.4	1	100.0%	-1.85%	5.600	+3.70%
	2017/04/19	08410	安領國際	系統開發及信息科技顧問	0.320	15.3	1	100.0%	+4.69%	0.710	+121.88%
	2017/04/19	02001	新高教集團	其他支援服務	2.780	1.0	1	100.0%	0.00%	2.870	+3.24%
	2017/04/18	08409	海鑫集團	建築及裝修	0.270	10.8	20	20.0%	+12.96%	0.380	+40.74%
	2017/04/13	08413	亞洲雜貨	零售/貿易	0.230	7.0	1	100.0%	+73.91%	0.270	+17.39%
	2017/04/13	08309	萬成環球控股	其他支援服務	0.320	59.3	1	100.0%	+6.25%	0.355	+10.94%
	2017/04/12	08455	禮建德集團	建築及裝修	0.260	15.3	1	100.0%	+3.85%	0.285	+9.62%
	2017/04/12	08347	Ｆ８企業	石油及天然氣	0.320	37.6	1	100.0%	-3.13%	0.240	-25.00%
	2017/04/11	02611	國泰君安	證券	15.840	2.6	1	100.0%	0.00%	17.020	+7.45%
	2017/04/07	08412	高門集團	休閒娛樂	0.340	100.5	15	50.0%	+7.35%	0.224	-34.12%
	2017/04/07	01667	進階發展	建築及裝修	0.520	587.2	70	20.1%	+23.08%	0.320	-38.46%
	2017/04/06	03768	滇池水務	水務供應	3.910	0.2	1	100.0%	-1.28%	2.970	-24.04%
	2017/03/31	02281	興瀘水務	水務供應	2.300	5.1	4	80.1%	-1.30%	1.620	-29.57%
	2017/03/31	02017	滄海控股	建築及裝修	2.170	63.5	3	80.0%	0.00%	1.680	-22.58%
	2017/03/30	01647	SHIS LTD	建築及裝修	0.700	127.0	40	28.5%	+38.57%	0.250	-64.29%
	2017/03/28	08439	新百利融資	其他金融	2.050	1.7	2	80.7%	+0.49%	1.990	-2.93%
	2017/03/22	01569	民生教育	其他支援服務	1.380	1.1	1	100.0%	+9.42%	1.290	-6.52%
	2017/03/21	08442	樺欣控股	服裝	5.750	379.0	40	15.0%	+8.70%	5.950	+3.48%
	2017/03/16	08421	永順控股香港	其他支援服務	0.420	11.1	9	13.2%	+4.76%	0.275	-34.52%
	2017/03/16	03869	弘和仁愛醫療	醫療器械及服務	12.800	2.6	1	100.0%	+1.25%	15.000	+17.19%
	2017/03/15	08425	興銘控股	機械裝備及器材	0.750	6.7	6	45.0%	+10.67%	0.650	-13.33%
	2017/03/13	08423	CHI HO DEV	建築及裝修	0.300	0.4	1	100.0%	+1.67%	0.920	+206.67%
	2017/03/10	08013	ECI TECH	資訊科技器材	0.150	38.9	1	100.0%	0.00%	0.130	-13.33%
	2017/03/10	03395	PERSTA	石油及天然氣	3.160	1.6	1	100.0%	-2.53%	2.130	-32.59%
	2017/03/08	01985	美高域	資訊科技器材	1.460	1176.8	100	50.0%	+173.97%	1.560	+6.85%
	2017/03/01	02293	百本醫護	醫療器械及服務	N/A	N/A	N/A	N/A	-12.12%	1.680	-15.15%
